"ID","Carrier","FlightNo","Destination","DepartTime","Day","Month","FlightLength","Delay","Delayed30"
1,"UA",403,"DEN","4-8am","Fri","May",281,-1,"No"
3,"UA",409,"DEN","4-8pm","Fri","May",279,4,"No"
5,"UA",667,"ORD","4-8am","Fri","May",143,-3,"No"
6,"UA",669,"ORD","4-8am","Fri","May",150,0,"No"
13,"UA",687,"ORD","4-8pm","Fri","May",160,0,"No"
14,"UA",689,"ORD","4-8pm","Fri","May",160,44,"Yes"
15,"UA",691,"ORD","4-8pm","Fri","May",160,52,"Yes"
16,"UA",693,"ORD","4-8pm","Fri","May",160,88,"Yes"
20,"UA",847,"IAD","4-8pm","Fri","May",92,-1,"No"
21,"UA",403,"DEN","4-8am","Sat","May",281,-9,"No"
24,"UA",669,"ORD","4-8am","Sat","May",160,-8,"No"
29,"UA",689,"ORD","4-8pm","Sat","May",163,-17,"No"
30,"UA",691,"ORD","4-8pm","Sat","May",163,-4,"No"
33,"UA",847,"IAD","4-8pm","Sat","May",68,-9,"No"
34,"UA",403,"DEN","4-8am","Sun","May",281,1,"No"
36,"UA",409,"DEN","4-8pm","Sun","May",279,-5,"No"
44,"UA",687,"ORD","4-8pm","Sun","May",160,-5,"No"
45,"UA",689,"ORD","4-8pm","Sun","May",160,34,"Yes"
46,"UA",691,"ORD","4-8pm","Sun","May",160,-5,"No"
47,"UA",693,"ORD","4-8pm","Sun","May",160,178,"Yes"
49,"UA",835,"ORD","4-8am","Sun","May",160,0,"No"
50,"UA",847,"IAD","4-8pm","Sun","May",92,28,"No"
51,"UA",403,"DEN","4-8am","Mon","May",281,-3,"No"
53,"UA",409,"DEN","4-8pm","Mon","May",279,50,"Yes"
55,"UA",667,"ORD","4-8am","Mon","May",143,-6,"No"
56,"UA",669,"ORD","4-8am","Mon","May",150,-2,"No"
62,"UA",687,"ORD","4-8pm","Mon","May",160,81,"Yes"
63,"UA",689,"ORD","4-8pm","Mon","May",160,0,"No"
64,"UA",691,"ORD","4-8pm","Mon","May",160,5,"No"
65,"UA",693,"ORD","4-8pm","Mon","May",160,49,"Yes"
69,"UA",847,"IAD","4-8pm","Mon","May",92,-7,"No"
70,"UA",403,"DEN","4-8am","Tue","May",281,-4,"No"
72,"UA",409,"DEN","4-8pm","Tue","May",279,115,"Yes"
74,"UA",667,"ORD","4-8am","Tue","May",143,-2,"No"
75,"UA",669,"ORD","4-8am","Tue","May",150,-2,"No"
81,"UA",689,"ORD","4-8pm","Tue","May",160,15,"No"
82,"UA",691,"ORD","4-8pm","Tue","May",160,68,"Yes"
83,"UA",693,"ORD","4-8pm","Tue","May",163,60,"Yes"
87,"UA",847,"IAD","4-8pm","Tue","May",92,79,"Yes"
