Movie,Rotten,Audience
Insidious,67,65
Paranormal Activity 3,68,58
Bad Teacher,44,38
Harry Potter and the Deathly Hallows Part 2,96,92
Bridesmaids,90,77
Midnight in Paris,93,84
The Help,75,91
The Hangover Part II,35,58
Another Earth,63,74
Limitless,69,73
Horrible Bosses,69,72
No Strings Attached,49,57
Twilight: Breaking Dawn,26,68
Transformers: Dark of the Moon,35,67
Gnomeo and Juliet,56,52
Rio,71,73
Super 8 ,82,78
Rise of the Planet of the Apes,83,87
Apollo 18,23,31
The Smurfs,23,50
Fast Five,78,83
Our Idiot Brother,68,79
50/50,93,93
Drive,93,79
Beginners,84,80
Kung Fu Panda 2,82,80
Unknown,55,57
The Ides of March,85,76
Friends With Benefits,71,68
"Pirates of the Caribbean:
On Stranger Tides",34,61
Final Destination 5,61,56
Source Code,92,81
Mission Impossible,93,86
One Day,37,54
Sanctum,30,39
Sherlock Holmes 2,60,79
Johnny English Reborn,38,55
Diary of a Wimpy Kid 2: Rodrick Rules,47,63
Mr. Popper's Penguins,47,54
In Time,38,55
Water For Elephants,60,72
Battle: Los Angeles,35,50
Thor,77,80
Hop,26,50
"Crazy, Stupid, Love",78,81
Cars 2,38,56
Spy Kids: All The Time in the World,22,40
Just Go With It,19,63
Captain America: The First Avenger,78,75
The Rite,20,43
Footloose,71,71
The Adjustment Bureau,72,67
Margin Call,86,73
The Roommate,4,29
Soul Surfer,46,79
Real Steel,58,81
Paul,72,70
Immortals,36,59
Scream 4,58,57
I Am Number Four,32,57
Dolphin Tale,84,81
Abduction,4,46
Hall Pass,35,44
Season Of The Witch,10,32
The Debt,76,70
Contagion,84,63
X-Men: First Class,87,88
Puss In Boots,83,76
Zookeeper,14,42
Hanna,71,67
Red Riding Hood,11,41
Moneyball,95,89
Monte Carlo,38,50
The Green Hornet,44,47
The Lincoln Lawyer,84,82
Rango,88,69
A Very Harold and Kumar Christmas,72,71
The Three Musketeers,24,48
Larry Crowne,34,46
Something Borrowed,,
The Tree Of Life,84,61
Beastly,19,50
Tower Heist,68,61
The Muppets,97,87
Shark Night 3D,16,25
Colombiana,28,55
What's Your Number,24,50
30 Minutes or Less,43,48
The Change Up,24,53
Priest,17,37
The Mechanic,53,52
Don't Be Afraid Of The Dark,59,37
Fright Night,75,68
The Descendants,89,88
Arthur,26,49
Winnie The Pooh,91,79
Green Lantern,27,48
Sucker Punch,23,48
The Eagle,39,43
Cowboys and Aliens,44,50
Jack and Jill,4,59
J.Edgar,42,84
The Dilemma,23,31
Warrior,83,93
My Week with Marilyn,83,84
Happy Feet 2,41,59
Dream House,7,38
Killer Elite,25,48
The Thing,36,52
Cedar Rapids,86,61
Drive Angry,45,38
Arthur Christmas,92,82
The Conspirator,56,65
Everything Must Go,74,53
Conan the Barbarian,22,34
Your Highness,26,36
The Rum Diary,50,48
Anonymous,46,66
A Dangerous Method,79,89
The Company Men,66,55
Take Shelter,92,85
The Beaver,62,57
Take Me Home Tonight,28,46
Red State,57,59
Mars Needs Moms,36,43
Dylan Dog: Dead of Night,6,28
The Big Year,38,62
Vanishing on 7th Street,52,62
Trespass,11,24
Hesher,54,68
Machine Gun Preacher,29,71
Waiting For Forever,6,53
The Son Of No One,18,61
Hugo,93,84
Jane Eyre,85,77
Never Back Down 2: The Beatdown,,44
