"","x"
"1",1.28
"2",4.53
"3",5.5
"4",7.91
"5",8.23
"6",9.67
"7",9.82
"8",10.28
"9",10.45
"10",11.91
"11",12.57
"12",13.75
"13",13.8
"14",14
"15",14.05
"16",16.02
"17",16.18
"18",16.25
"19",16.58
"20",16.68
"21",16.87
"22",17.61
"23",17.63
"24",17.71
"25",18.13
"26",18.42
"27",18.43
"28",18.44
"29",19.62
"30",20.401
"31",20.73
"32",20.74
"33",21.29
"34",21.51
"35",21.66
"36",21.87
"37",22.67
"38",23.11
"39",24.4
"40",24.55
"41",24.66
"42",25.3
"43",25.46
"44",25.91
"45",26.12
"46",26.61
"47",26.72
"48",29.28
"49",31.93
"50",36.94
