League,Team,Goals,
French,Paris SG,84,
French,Monaco,63,
French,Lille,46,
French,Saint-Etienne,56,
French,Lyon,56,
French,Marseille,53,
French,Bordeaux,49,
French,Lorient,48,
French,Toulouse,46,
French,Bastia,42,
French,Reims,44,
French,Rennes,47,
French,Nantes,38,
French,Evian TG,39,    
French,Montpellier,45,
French,Guingamp,34,
French,Nice,30,
French,Sochaux,37,
French,Valenciennes,37,
French,Ajaccio,37,
English,Manchester City,102,
English,Liverpool,101,
English,Chelsea,71,
English,Arsenal,68,
English,Everton,61,
English,Tottenham,55,
English,Manchester Utd,64,
English,Southampton,54,
English,Stoke City,45,
English,Newcastle Utd,43,
English,Crystal Palace,33,
English,Swansea City,54,
English,West Ham Utd,40,
English,Sunderland,41,
English,Aston Villa,39,
English,Hull City,38,
English,West Bromwich,43,
English,Norwich City,28,
English,Fulham,40,
English,Cardiff City,32,
