"","illit","lifexp"
"Alabama",2.1,69.05
"Alaska",1.5,69.31
"Arizona",1.8,70.55
"Arkansas",1.9,70.66
"California",1.1,71.71
"Colorado",0.7,72.06
"Connecticut",1.1,72.48
"Delaware",0.9,70.06
"Florida",1.3,70.66
"Georgia",2,68.54
"Hawaii",1.9,73.6
"Idaho",0.6,71.87
"Illinois",0.9,70.14
"Indiana",0.7,70.88
"Iowa",0.5,72.56
"Kansas",0.6,72.58
"Kentucky",1.6,70.1
"Louisiana",2.8,68.76
"Maine",0.7,70.39
"Maryland",0.9,70.22
"Massachusetts",1.1,71.83
"Michigan",0.9,70.63
"Minnesota",0.6,72.96
"Mississippi",2.4,68.09
"Missouri",0.8,70.69
"Montana",0.6,70.56
"Nebraska",0.6,72.6
"Nevada",0.5,69.03
"New Hampshire",0.7,71.23
"New Jersey",1.1,70.93
"New Mexico",2.2,70.32
"New York",1.4,70.55
"North Carolina",1.8,69.21
"North Dakota",0.8,72.78
"Ohio",0.8,70.82
"Oklahoma",1.1,71.42
"Oregon",0.6,72.13
"Pennsylvania",1,70.43
"Rhode Island",1.3,71.9
"South Carolina",2.3,67.96
"South Dakota",0.5,72.08
"Tennessee",1.7,70.11
"Texas",2.2,70.9
"Utah",0.6,72.9
"Vermont",0.6,71.64
"Virginia",1.4,70.08
"Washington",0.6,71.72
"West Virginia",1.4,69.48
"Wisconsin",0.7,72.48
"Wyoming",0.6,70.29
